"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"458",12,"Xavier Restrepo",TEN,"WR155","9","-","-","3 out of 5 stars","-","-","-"
"459",12,"Antonio Gibson",FA,"RB123","-","-","-","-","-140","-","-"
"460",12,"Drew Sample",CIN,"TE72","6","-","-","3 out of 5 stars","-","-0.2","25% (4/16)"
"461",12,"Xavier Smith",LAR,"WR156","11","-","-","1 out of 5 stars","-","+0.9","40% (4/10)"
"462",12,"Foster Moreau",HOU,"TE73","8","-","-","4 out of 5 stars","-","-1.5","18% (2/11)"
"463",12,"Mo Alie-Cox",IND,"TE74","13","-","-","3 out of 5 stars","-","-","-"
"464",12,"Mitch Tinsley",CIN,"WR157","6","-","-","4 out of 5 stars","-","-","-"
"465",12,"Reggie Virgil",ARI,"WR158","14","-","-","2 out of 5 stars","-","-","-"
"466",12,"Van Jefferson",WAS,"WR159","7","-","-","2 out of 5 stars","-","-0.1","37% (6/16)"
"467",12,"Luke Schoonmaker",DAL,"TE75","14","-","-","2 out of 5 stars","-","-","-"
"468",12,"Nate Boerkircher",JAC,"TE76","7","-","-","3 out of 5 stars","-","-","-"
"469",12,"Brock Wright",DET,"TE77","6","-","-","3 out of 5 stars","-","0.0","27% (3/11)"
"470",12,"Cade Stover",HOU,"TE78","8","-","-","4 out of 5 stars","-","-0.4","37% (3/8)"
"471",12,"Sam Roush",CHI,"TE79","10","-","-","2 out of 5 stars","-","-","-"
"472",12,"Jake Moody",FA,"K33","-","-","-","-","-","+2.9","62% (5/8)"
"473",12,"Jason Sanders",NYJ,"K34","13","-","-","2 out of 5 stars","-","-","-"
"474",12,"Jeremy Ruckert",NYJ,"TE80","13","-","-","4 out of 5 stars","-","-0.1","43% (7/16)"
"475",12,"Tim Patrick",NYJ,"WR160","13","-","-","4 out of 5 stars","-","+1.0","46% (6/13)"
"476",12,"Durham Smythe",BAL,"TE81","13","-","-","4 out of 5 stars","-","-","-"
"477",12,"Quinn Ewers",MIA,"QB47","6","-","-","3 out of 5 stars","-","-2.6","50% (1/2)"
"478",12,"Jeremy McNichols",WAS,"RB124","7","-","-","4 out of 5 stars","-","-1.0","37% (6/16)"
"479",12,"Riley Leonard",IND,"QB48","13","-","-","4 out of 5 stars","-","-0.4","0% (0/3)"
"480",12,"Tanner Hudson",CIN,"TE82","6","-","-","3 out of 5 stars","-","-","-"
"481",12,"Jelani Woods",NYJ,"TE83","13","-","-","4 out of 5 stars","-149","-","-"
"482",12,"Josh Cuevas",BAL,"TE84","13","-","-","4 out of 5 stars","-","-","-"
"483",12,"Roman Hemby",LV,"RB125","13","-","-","2 out of 5 stars","-","-","-"
"484",12,"Jacob Cowing",SF,"WR161","8","-","-","2 out of 5 stars","-156","-","-"
"485",12,"Lil'Jordan Humphrey",DEN,"WR162","10","-","-","2 out of 5 stars","-","-0.2","37% (3/8)"
"486",12,"Tyrod Taylor",GB,"QB49","11","-","-","4 out of 5 stars","-","-0.3","30% (4/13)"
"487",12,"Josh Cameron",JAC,"WR163","7","-","-","4 out of 5 stars","-","-","-"
"488",12,"KeAndre Lambert-Smith",LAC,"WR164","7","-","-","2 out of 5 stars","-","-0.2","22% (2/9)"
"489",12,"Gardner Minshew II",ARI,"QB50","14","-","-","2 out of 5 stars","-","-","-"
"490",12,"Jacob Saylors",DET,"RB126","6","-","-","5 out of 5 stars","-","-","-"
"491",12,"Efton Chism III",NE,"WR165","11","-","-","2 out of 5 stars","-","-","-"
"492",12,"Nate Adkins",DEN,"TE85","10","-","-","4 out of 5 stars","-","-","-"
"493",12,"Brycen Tremayne",CAR,"WR166","5","-","-","2 out of 5 stars","-","-","-"
"494",12,"DeAndre Hopkins",BAL,"WR167","13","-","-","4 out of 5 stars","-","-0.5","31% (5/16)"
"495",12,"Frank Gore Jr.",BUF,"RB127","7","-","-","2 out of 5 stars","-","-","-"
"496",12,"Alec Ingold",LAC,"RB128","7","-","-","3 out of 5 stars","-","-","-"
"497",12,"Lan Larison",NE,"RB129","11","-","-","2 out of 5 stars","-","-","-"
"498",12,"Jalen Brooks",ARI,"WR168","14","-","-","2 out of 5 stars","-","-","-"
"499",12,"Max Bredeson",MIN,"RB130","6","-","-","4 out of 5 stars","-","-","-"
"500",12,"Dylan Laube",LV,"RB131","13","-","-","2 out of 5 stars","-","-","-"
"501",12,"Patrick Ricard",NYG,"RB132","8","-","-","4 out of 5 stars","-","-","-"
"502",12,"Adam Prentice",DEN,"RB133","10","-","-","2 out of 5 stars","-","-","-"
"503",12,"Jaret Patterson",LAC,"RB134","7","-","-","3 out of 5 stars","-","+0.3","33% (2/6)"
"504",12,"British Brooks",HOU,"RB135","8","-","-","4 out of 5 stars","-","-","-"
"505",12,"Reggie Gilliam",NE,"RB136","11","-","-","2 out of 5 stars","-","-","-"
"506",12,"Josh Williams",TB,"RB137","10","-","-","2 out of 5 stars","-","-","-"
"507",12,"Chris Blair",ATL,"WR169","11","-","-","3 out of 5 stars","-","-","-"
"508",12,"Kene Nwangwu",NYJ,"RB138","13","-","-","3 out of 5 stars","-","-","-"
"509",12,"Jake Browning",TB,"QB51","10","-","-","2 out of 5 stars","-","+0.9","27% (3/11)"
"510",12,"Moliki Matavao",NO,"TE86","8","-","-","2 out of 5 stars","-","-","-"
"511",12,"Elijah Moore",PHI,"WR170","10","-","-","4 out of 5 stars","-","-","-"
"512",12,"Michael Burton",CLE,"RB139","11","-","-","3 out of 5 stars","-","-","-"
"513",12,"Nathan Carter",ATL,"RB140","11","-","-","2 out of 5 stars","-","-","-"
"514",12,"Davis Allen",LAR,"TE87","11","-","-","4 out of 5 stars","-","+0.2","37% (6/16)"
"515",13,"Jalen Milroe",SEA,"QB52","11","-","-","4 out of 5 stars","-","-1.8","0% (0/3)"
"516",13,"Michael Trigg",DAL,"TE88","14","-","-","2 out of 5 stars","-","-","-"
"517",13,"Tyler Conklin",DET,"TE89","6","-","-","3 out of 5 stars","-","-1.4","23% (3/13)"
"518",13,"Davis Mills",HOU,"QB53","8","-","-","4 out of 5 stars","-","+1.3","28% (4/14)"
"519",13,"Cedrick Wilson Jr.",FA,"WR171","-","-","-","-","-","-","-"
"520",13,"Julian Hill",NE,"TE90","11","-","-","4 out of 5 stars","-","-","-"
"521",13,"Jack Endries",CIN,"TE91","6","-","-","3 out of 5 stars","-","-","-"
"522",13,"Luke Farrell",SF,"TE92","8","-","-","3 out of 5 stars","-","-","-"
"523",13,"Justin Watson",HOU,"WR172","8","-","-","3 out of 5 stars","-","-","-"
"524",13,"Payne Durham",TB,"TE93","10","-","-","2 out of 5 stars","-","-","-"
"525",13,"Ben Sims",MIA,"TE94","6","-","-","5 out of 5 stars","-","-","-"
"526",13,"Myles Price",MIN,"WR173","6","-","-","5 out of 5 stars","-","-","-"
"527",13,"Khalil Dinkins",SF,"TE95","8","-","-","3 out of 5 stars","-","-","-"
"528",13,"David Sills V",TB,"WR174","10","-","-","4 out of 5 stars","-","-0.3","33% (4/12)"
"529",13,"Trey Lance",LAC,"QB54","7","-","-","2 out of 5 stars","-","+0.1","21% (3/14)"
"530",13,"Blake Whiteheart",CLE,"TE96","11","-","-","3 out of 5 stars","-207","-","-"
"531",13,"Lew Nichols III",PIT,"RB141","9","-","-","2 out of 5 stars","-","-","-"
"532",13,"Tyrell Shavers",BUF,"WR175","7","-","-","4 out of 5 stars","-","+0.7","43% (7/16)"
"533",13,"Josh Whyle",GB,"TE97","11","-","-","2 out of 5 stars","-","-","-"
"534",13,"Mason Tipton",NO,"WR176","8","-","-","3 out of 5 stars","-","-1.0","33% (3/9)"
"535",13,"Tyson Bagent",CHI,"QB55","10","-","-","3 out of 5 stars","-","-0.2","15% (2/13)"
"536",13,"Velus Jones Jr.",SEA,"WR177","11","-","-","3 out of 5 stars","-","-","-"
"537",13,"Theo Wease Jr.",MIA,"WR178","6","-","-","3 out of 5 stars","-","+11.4","100% (1/1)"
"538",13,"Brevyn Spann-Ford",DAL,"TE98","14","-","-","2 out of 5 stars","-","-","-"
"539",13,"Kameron Johnson",TB,"WR179","10","-","-","4 out of 5 stars","-201","-","-"
"540",13,"Derius Davis",LAC,"WR180","7","-","-","2 out of 5 stars","-","-","-"
"541",13,"Kaden Wetjen",PIT,"WR181","9","-","-","3 out of 5 stars","-","-","-"
"542",13,"Tyler Lockett",LV,"WR182","13","-","-","2 out of 5 stars","-","-0.5","37% (6/16)"
"543",13,"Scotty Miller",CHI,"WR183","10","-","-","3 out of 5 stars","-","-","-"
"544",13,"Bo Melton",GB,"WR184","11","-","-","5 out of 5 stars","-","-","-"
"545",13,"Ben Skowronek",PIT,"WR185","9","-","-","3 out of 5 stars","-","-","-"
"546",13,"Arian Smith",NYJ,"WR186","13","-","-","4 out of 5 stars","-","-1.9","7% (1/14)"
"547",13,"Michael Bandy",DEN,"WR187","10","-","-","2 out of 5 stars","-","-","-"
"548",13,"Cash Jones",ATL,"RB142","11","-","-","2 out of 5 stars","-","-","-"
"549",13,"Tyler Badie",DEN,"RB143","10","-","-","2 out of 5 stars","-","-0.6","40% (6/15)"
"550",13,"Jonathan Mingo",DAL,"WR188","14","-","-","2 out of 5 stars","-","-0.6","25% (1/4)"
"551",13,"Malachi Corley",CLE,"WR189","11","-","-","3 out of 5 stars","-","-0.4","33% (3/9)"
"552",13,"Kevin Austin Jr.",NO,"WR190","8","-","-","3 out of 5 stars","-","+0.5","25% (1/4)"
"553",13,"Noah Whittington",HOU,"RB144","8","-","-","4 out of 5 stars","-","-","-"
"554",13,"Jared Wayne",HOU,"WR191","8","-","-","3 out of 5 stars","-","-","-"
"555",13,"Jalen Reagor",MIA,"WR192","6","-","-","3 out of 5 stars","-","-","-"
"556",13,"Skyy Moore",GB,"WR193","11","-","-","5 out of 5 stars","-","-","-"
"557",13,"Michael Woods II",DEN,"WR194","10","-","-","2 out of 5 stars","-","-","-"
"558",13,"Travis Homer",PIT,"RB145","9","-","-","2 out of 5 stars","-","-","-"
"559",13,"Sincere McCormick",SF,"RB146","8","-","-","2 out of 5 stars","-","-","-"
"560",13,"Isaiah Hodgins",NYG,"WR195","8","-","-","4 out of 5 stars","-","-1.5","33% (2/6)"
"561",13,"Darius Cooper",PHI,"WR196","10","-","-","4 out of 5 stars","-","-","-"
"562",13,"Jeshaun Jones",MIN,"WR197","6","-","-","5 out of 5 stars","-","-","-"
"563",13,"David Moore",CAR,"WR198","5","-","-","2 out of 5 stars","-","-","-"
"564",13,"Jakobie Keeney-James",FA,"WR199","-","-","-","-","-","-","-"
"565",13,"Anthony Gould",IND,"WR200","13","-","-","4 out of 5 stars","-","-","-"
"566",13,"Casey Washington",CAR,"WR201","5","-","-","2 out of 5 stars","-","-","-"
"567",13,"Jaydn Ott",KC,"RB147","5","-","-","3 out of 5 stars","-","-","-"
"568",13,"Cody White",SEA,"WR202","11","-","-","3 out of 5 stars","-","-","-"
"569",13,"Devin Duvernay",ARI,"WR203","14","-","-","2 out of 5 stars","-","-","-"
"570",13,"Quentin Skinner",BUF,"WR204","7","-","-","4 out of 5 stars","-","-","-"
"571",13,"Miles Davis",FA,"RB148","-","-","-","-","-","-","-"
"572",13,"Nikko Remigio",KC,"WR205","5","-","-","2 out of 5 stars","-","-","-"
"573",13,"Jake Bobo",SEA,"WR206","11","-","-","3 out of 5 stars","-","-","-"
"574",13,"Dareke Young",LV,"WR207","13","-","-","2 out of 5 stars","-","-","-"
"575",13,"Gage Larvadain",CLE,"WR208","11","-","-","3 out of 5 stars","-","-","-"
"576",13,"Ahmani Marshall",CLE,"RB149","11","-","-","3 out of 5 stars","-","-","-"
"577",13,"Britain Covey",PHI,"WR209","10","-","-","4 out of 5 stars","-","-","-"
"578",13,"Jordan Watkins",SF,"WR210","8","-","-","2 out of 5 stars","-","-","-"
"579",13,"Ke'Shawn Williams",CIN,"WR211","6","-","-","4 out of 5 stars","-","-","-"
"580",13,"Coleman Owen",IND,"WR212","13","-","-","4 out of 5 stars","-","-","-"
"581",13,"Isaiah Williams",NYJ,"WR213","13","-","-","4 out of 5 stars","-","-","-"
"582",13,"Mason Kinsey",TEN,"WR214","9","-","-","3 out of 5 stars","-","-","-"
"583",13,"DeeJay Dallas",JAC,"RB150","7","-","-","4 out of 5 stars","-","-","-"
"584",13,"Maurice Alexander",CHI,"WR215","10","-","-","3 out of 5 stars","-","-","-"
"585",13,"Charlie Jones",CIN,"WR216","6","-","-","4 out of 5 stars","-","-","-"
"586",13,"Anderson Castle",IND,"RB151","13","-","-","4 out of 5 stars","-","-","-"
"587",13,"Eric Gray",NYG,"RB152","8","-","-","4 out of 5 stars","-","-","-"
"588",13,"Drake Dabney",GB,"TE99","11","-","-","2 out of 5 stars","-","-","-"
"589",13,"CJ Donaldson",NO,"RB153","8","-","-","3 out of 5 stars","-","-","-"
"590",13,"Jaheim Bell",FA,"TE100","-","-","-","-","-","-","-"
"591",13,"Albert Okwuegbunam Jr.",LV,"TE101","13","-","-","3 out of 5 stars","-","-","-"
"592",13,"Miles Kitselman",FA,"TE102","-","-","-","-","-","-","-"
"593",13,"Corey Kiner",ARI,"RB154","14","-","-","2 out of 5 stars","-","-0.9","50% (2/4)"
"594",13,"Spencer Rattler",NO,"QB56","8","-","-","3 out of 5 stars","-","-0.9","20% (3/15)"
"595",13,"Drew Allar",PIT,"QB57","9","-","-","2 out of 5 stars","-","-","-"
"596",13,"Miles Sanders",FA,"RB155","-","-","-","-","-","-","-"
"597",13,"Alexander Mattison",FA,"RB156","-","-","-","-","-287","-","-"
"598",13,"Ulysses Bentley IV",IND,"RB157","13","-","-","4 out of 5 stars","-","-","-"
"599",13,"Taylen Green",CLE,"QB58","11","-","-","4 out of 5 stars","-","-","-"
"600",13,"Andre Szmyt",CLE,"K35","11","-","-","5 out of 5 stars","-","+0.2","50% (8/16)"
"601",13,"Joe Royer",CLE,"TE103","11","-","-","3 out of 5 stars","-","-","-"
"602",13,"Elijah Tau-Tolliver",BAL,"RB158","13","-","-","3 out of 5 stars","-","-","-"
"603",13,"Tyler Huntley",BAL,"QB59","13","-","-","3 out of 5 stars","-","+0.3","16% (2/12)"
"604",13,"Mason Rudolph",PIT,"QB60","9","-","-","2 out of 5 stars","-","-0.3","14% (2/14)"
"605",13,"Dohnte Meyers",CIN,"WR217","6","-","-","4 out of 5 stars","-","-","-"
"606",13,"Seydou Traore",MIA,"TE104","6","-","-","5 out of 5 stars","-","-","-"
"607",13,"Myles Montgomery",FA,"RB159","-","-","-","-","-","-","-"
"608",13,"Grant Calcaterra",PHI,"TE105","10","-","-","4 out of 5 stars","-","-0.9","28% (4/14)"
"609",13,"Bauer Sharp",TB,"TE106","10","-","-","2 out of 5 stars","-","-","-"
"610",13,"Charlie Woerner",ATL,"TE107","11","-","-","3 out of 5 stars","-","-","-"
"611",13,"Stone Smartt",PHI,"TE108","10","-","-","4 out of 5 stars","-","0.0","7% (1/13)"
"612",13,"Will Levis",TEN,"QB61","9","-","-","3 out of 5 stars","-","-","-"
"613",13,"Andy Dalton",PHI,"QB62","10","-","-","5 out of 5 stars","-","-0.6","14% (2/14)"
"614",13,"Joel Wilson",TEN,"TE109","9","-","-","3 out of 5 stars","-284","-","-"
"615",13,"Eric Saubert",SEA,"TE110","11","-","-","3 out of 5 stars","-","-","-"
"616",13,"Tanner McKee",PHI,"QB63","10","-","-","5 out of 5 stars","-","-","-"
"617",13,"Dominic Zvada",NYG,"K36","8","-","-","2 out of 5 stars","-","-","-"
"618",13,"Tip Reiman",ARI,"TE111","14","-","-","2 out of 5 stars","-","-","-"
"619",13,"JaMycal Hasty",NE,"RB160","11","-","-","2 out of 5 stars","-","-","-"
"620",13,"Kalel Mullings",TEN,"RB161","9","-","-","3 out of 5 stars","-","-0.4","12% (1/8)"
"621",13,"Brevin Jordan",HOU,"TE112","8","-","-","4 out of 5 stars","-","-","-"
"622",13,"Carsen Ryan",CLE,"TE113","11","-","-","3 out of 5 stars","-","-","-"
"623",14,"Joshua Simon",ATL,"TE114","11","-","-","3 out of 5 stars","-","-","-"
"624",14,"Drew Ogletree",IND,"TE115","13","-","-","3 out of 5 stars","-","-","-"
"625",14,"Ty Pezza",BAL,"TE116","13","-","-","4 out of 5 stars","-","-","-"
"626",14,"Craig Reynolds",WAS,"RB162","7","-","-","4 out of 5 stars","-","-","-"
"627",14,"Kendrick Law",DET,"WR218","6","-","-","4 out of 5 stars","-","-","-"
"628",14,"Jared Wiley",KC,"TE117","5","-","-","4 out of 5 stars","-","-0.3","0% (0/3)"
"629",14,"Gavin Bartholomew",MIN,"TE118","6","-","-","4 out of 5 stars","-","-","-"
"630",14,"Jake Briningstool",KC,"TE119","5","-","-","4 out of 5 stars","-","-","-"
"631",14,"Kylen Granson",TEN,"TE120","9","-","-","3 out of 5 stars","-","-","-"
"632",14,"Teagan Quitoriano",ARI,"TE121","14","-","-","2 out of 5 stars","-","-","-"
"633",14,"Ben Yurosek",MIN,"TE122","6","-","-","4 out of 5 stars","-","-","-"
"634",14,"Jabari Small",DET,"RB163","6","-","-","5 out of 5 stars","-","-","-"
"635",14,"Hassan Haskins",NE,"RB164","11","-","-","2 out of 5 stars","-","-1.8","10% (1/10)"
"636",14,"Devin Culp",TB,"TE123","10","-","-","2 out of 5 stars","-","-","-"
"637",14,"Michael Wortham",JAC,"WR219","7","-","-","4 out of 5 stars","-","-","-"
"638",14,"Ian Thomas",LV,"TE124","13","-","-","3 out of 5 stars","-305","-","-"
"639",14,"Jack Velling",ATL,"TE125","11","-","-","3 out of 5 stars","-","-","-"
"640",14,"Jack Stoll",FA,"TE126","-","-","-","-","-","-","-"
"641",14,"Bryson Nesbit",MIN,"TE127","6","-","-","4 out of 5 stars","-","-","-"
"642",14,"Will Mallory",IND,"TE128","13","-","-","3 out of 5 stars","-","-","-"
"643",14,"Ray-Ray McCloud III",CHI,"WR220","10","-","-","3 out of 5 stars","-","-","-"
"644",14,"Ameer Abdullah",JAC,"RB165","7","-","-","4 out of 5 stars","-","-","-"
"645",14,"Tyler Johnson",DAL,"WR221","14","-","-","2 out of 5 stars","-","-0.6","25% (3/12)"
"646",14,"JuJu Smith-Schuster",FA,"WR222","-","-","-","-","-","-0.8","37% (6/16)"
"647",14,"Ronnie Bell",NO,"WR223","8","-","-","3 out of 5 stars","-","-","-"
"648",14,"Mecole Hardman Jr.",FA,"WR224","-","-","-","-","-","-","-"
"649",14,"Michael Briscoe",MIN,"WR225","6","-","-","5 out of 5 stars","-","-","-"
"650",14,"Cole Turner",MIA,"TE129","6","-","-","5 out of 5 stars","-","-","-"
"651",14,"Cooper Rush",ATL,"QB64","11","-","-","4 out of 5 stars","-","-4.8","16% (1/6)"
"652",14,"Tahj Washington",PHI,"WR226","10","-","-","4 out of 5 stars","-","-","-"
"653",14,"Sterling Shepard",HOU,"WR227","8","-","-","3 out of 5 stars","-","-0.5","38% (5/13)"
"654",14,"Jermar Jefferson",MIN,"RB166","6","-","-","4 out of 5 stars","-","-","-"
"655",14,"Lucas Krull",DEN,"TE130","10","-","-","4 out of 5 stars","-","-","-"
"656",14,"Brayden Willis",SF,"TE131","8","-","-","3 out of 5 stars","-","-","-"
"657",14,"Desmond Reid",FA,"RB167","-","-","-","-","-","-","-"
"658",14,"Tanner Conner",NYG,"TE132","8","-","-","3 out of 5 stars","-","-","-"
"659",14,"Kenny McIntosh",FA,"RB168","-","-","-","-","-","-","-"
"660",14,"Johnny Mundt",PHI,"TE133","10","-","-","4 out of 5 stars","-","-","-"
"661",14,"Colson Yankoff",WAS,"TE134","7","-","-","1 out of 5 stars","-","-","-"
"662",14,"Chris Manhertz",NYG,"TE135","8","-","-","3 out of 5 stars","-","-","-"
"663",14,"Bub Means",NO,"WR228","8","-","-","3 out of 5 stars","-","-","-"
"664",14,"Kendric Pryor",CIN,"WR229","6","-","-","4 out of 5 stars","-385","-","-"
"665",14,"Brenden Bates",FA,"TE136","-","-","-","-","-","-","-"
"666",14,"Donovan Edwards",MIA,"RB169","6","-","-","3 out of 5 stars","-","-","-"
"667",14,"Hunter Long",JAC,"TE137","7","-","-","3 out of 5 stars","-","+0.6","33% (3/9)"
"668",14,"J. Michael Sturdivant",GB,"WR230","11","-","-","5 out of 5 stars","-","-","-"
"669",14,"John Michael Gyllenborg",KC,"TE138","5","-","-","4 out of 5 stars","-","-","-"
"670",14,"Quintin Morris",JAC,"TE139","7","-","-","3 out of 5 stars","-","-","-"
"671",14,"Hayden Rucci",SF,"TE140","8","-","-","3 out of 5 stars","-","-","-"
"672",14,"Terrace Marshall Jr.",MIA,"WR231","6","-","-","3 out of 5 stars","-","-","-"
"673",14,"K.J. Osborn",TEN,"WR232","9","-","-","3 out of 5 stars","-","-","-"
"674",14,"Riley Patterson",MIA,"K37","6","-","-","2 out of 5 stars","-","+0.5","56% (9/16)"
"675",14,"Dominic Lovett",DET,"WR233","6","-","-","4 out of 5 stars","-","-","-"
"676",14,"Rivaldo Fairweather",ARI,"TE141","14","-","-","2 out of 5 stars","-","-","-"
"677",14,"Kansei Matsuzawa",LV,"K38","13","-","-","1 out of 5 stars","-","-","-"
"678",14,"Tyler Scott",LAR,"WR234","11","-","-","1 out of 5 stars","-","-","-"
"679",14,"Dalevon Campbell",LAC,"WR235","7","-","-","2 out of 5 stars","-","-","-"
"680",14,"David Martin-Robinson",TEN,"TE142","9","-","-","3 out of 5 stars","-","-","-"
"681",14,"Tanner Brown",NO,"K39","8","-","-","5 out of 5 stars","-","-","-"
"682",14,"Dante Pettis",BUF,"WR236","7","-","-","4 out of 5 stars","-","-","-"
"683",14,"Jamal Haynes",CIN,"RB170","6","-","-","2 out of 5 stars","-","-","-"
"684",14,"Princeton Fant",DAL,"TE143","14","-","-","2 out of 5 stars","-","-","-"
"685",14,"Xavier Weaver",ARI,"WR237","14","-","-","2 out of 5 stars","-","-1.0","25% (1/4)"
"686",14,"Zay Jones",HOU,"WR238","8","-","-","3 out of 5 stars","-","-","-"
"687",14,"Ko Kieft",TB,"TE144","10","-","-","2 out of 5 stars","-","-","-"
"688",14,"CJ Dippre",FA,"TE145","-","-","-","-","-","-","-"
"689",14,"Jack Westover",NE,"TE146","11","-","-","4 out of 5 stars","-","-","-"
"690",14,"Shedrick Jackson",LV,"WR239","13","-","-","2 out of 5 stars","-","-","-"
"691",14,"Deven Thompkins",LV,"WR240","13","-","-","2 out of 5 stars","-","-","-"
"692",14,"Cameron Latu",PHI,"TE147","10","-","-","4 out of 5 stars","-","-","-"
"693",14,"Dean Connors",LAR,"RB171","11","-","-","5 out of 5 stars","-","-","-"
"694",14,"Chris Moore",BAL,"WR241","13","-","-","4 out of 5 stars","-","-2.1","20% (2/10)"
"695",14,"Lance Mason",PIT,"TE148","9","-","-","2 out of 5 stars","-","-","-"
"696",14,"Tanner Arkin",NE,"TE149","11","-","-","4 out of 5 stars","-","-","-"
"697",14,"Gunner Olszewski",NYG,"WR242","8","-","-","4 out of 5 stars","-","-","-"
"698",14,"Zach Horton",DET,"TE150","6","-","-","3 out of 5 stars","-","-","-"
"699",14,"Kenny Fletcher Jr.",TB,"TE151","10","-","-","2 out of 5 stars","-","-","-"
"700",14,"Tylan Wallace",CLE,"WR243","11","-","-","3 out of 5 stars","-","-","-"
"701",14,"B.T. Potter",TB,"K40","10","-","-","3 out of 5 stars","-","-","-"
"702",14,"Lake McRee",PIT,"TE152","9","-","-","2 out of 5 stars","-","-","-"
"703",14,"Tay Martin",DET,"WR244","6","-","-","4 out of 5 stars","-","-","-"
"704",14,"LaJohntay Wester",BAL,"WR245","13","-","-","4 out of 5 stars","-","-","-"
"705",14,"Vinny Anthony II",ATL,"WR246","11","-","-","3 out of 5 stars","-","-","-"
"706",14,"Tre Watson",KC,"TE153","5","-","-","4 out of 5 stars","-","-","-"
"707",14,"James Mitchell",CAR,"TE154","5","-","-","2 out of 5 stars","-","-","-"
"708",14,"Braxton Berrios",NYG,"WR247","8","-","-","4 out of 5 stars","-","-","-"
"709",14,"E.J. Jenkins",PHI,"TE155","10","-","-","4 out of 5 stars","-","-","-"
"710",14,"Chase Curtis",NYJ,"TE156","13","-","-","4 out of 5 stars","-","-","-"
"711",14,"Kentrel Bullock",CIN,"RB172","6","-","-","2 out of 5 stars","-","-","-"
"712",14,"Thomas Gordon",DET,"TE157","6","-","-","3 out of 5 stars","-","-","-"
"713",14,"Tom Kennedy",DET,"WR248","6","-","-","4 out of 5 stars","-","-","-"
"714",14,"DJ Rogers",DAL,"TE158","14","-","-","2 out of 5 stars","-","-","-"
"715",14,"Dylan Drummond",ATL,"WR249","11","-","-","3 out of 5 stars","-","-","-"
"716",14,"Ryan Miller",MIA,"WR250","6","-","-","3 out of 5 stars","-","-","-"
"717",14,"Noah Brown",FA,"WR251","-","-","-","-","-454","-","-"
"718",14,"Jamari Thrash",CLE,"WR252","11","-","-","3 out of 5 stars","-","-","-"
"719",14,"Quentin Moore",WAS,"TE159","7","-","-","1 out of 5 stars","-","-","-"
"720",14,"KhaDarel Hodge",SF,"WR253","8","-","-","2 out of 5 stars","-","-","-"
"721",14,"Nick Kallerup",SEA,"TE160","11","-","-","3 out of 5 stars","-","-","-"
"722",14,"Pierre Strong Jr.",GB,"RB173","11","-","-","4 out of 5 stars","-","-","-"
"723",14,"Austin Trammell",JAC,"WR254","7","-","-","4 out of 5 stars","-","-","-"
"724",14,"Jalin Hyatt",NYG,"WR255","8","-","-","4 out of 5 stars","-","-","-"
"725",14,"Curtis Samuel",FA,"WR256","-","-","-","-","-","-0.1","20% (1/5)"
"726",14,"Cam Grandy",CIN,"TE161","6","-","-","3 out of 5 stars","-","-","-"
"727",14,"Patrick Herbert",JAC,"TE162","7","-","-","3 out of 5 stars","-","-","-"
"728",14,"Joshua Cephus",FA,"WR257","-","-","-","-","-","-","-"
"729",14,"Deontay Burnett",FA,"WR258","-","-","-","-","-","-","-"
"730",14,"Carson Towt",IND,"TE163","13","-","-","3 out of 5 stars","-","-","-"
"731",14,"Mario Williams",FA,"WR259","-","-","-","-","-","-","-"
"732",14,"Shane Zylstra",BUF,"TE164","7","-","-","3 out of 5 stars","-","-1.5","33% (1/3)"
"733",14,"Ricky White III",SEA,"WR260","11","-","-","3 out of 5 stars","-","-","-"
"734",14,"Zaire Mitchell-Paden",NO,"TE165","8","-","-","2 out of 5 stars","-","-","-"
"735",14,"Dontae McMillan",BAL,"RB174","13","-","-","3 out of 5 stars","-","-","-"
"736",14,"Samori Toure",PHI,"WR261","10","-","-","4 out of 5 stars","-","-","-"
"737",14,"Messiah Swinson",GB,"TE166","11","-","-","2 out of 5 stars","-","-","-"
"738",14,"Jordan Waters",LAR,"RB175","11","-","-","5 out of 5 stars","-","-","-"
"739",14,"Carter Runyon",LV,"TE167","13","-","-","3 out of 5 stars","-","-","-"
"740",14,"Xavier Gipson",NYG,"WR262","8","-","-","4 out of 5 stars","-","-","-"
"741",14,"Treyton Welch",NO,"TE168","8","-","-","2 out of 5 stars","-","-","-"
"742",14,"Jameson Geers",ARI,"TE169","14","-","-","2 out of 5 stars","-","-","-"
"743",14,"Brittain Brown",CHI,"RB176","10","-","-","2 out of 5 stars","-","-","-"
"744",14,"Keleki Latu",BUF,"TE170","7","-","-","3 out of 5 stars","-","-","-"
"745",14,"AJ Dillon",CAR,"RB177","5","-","-","1 out of 5 stars","-","-0.3","28% (2/7)"
"746",14,"Patrick Taylor Jr.",FA,"RB178","-","-","-","-","-","-","-"
"747",14,"Bryce Oliver",TEN,"WR263","9","-","-","3 out of 5 stars","-","-","-"
"748",14,"Tim Jones",JAC,"WR264","7","-","-","4 out of 5 stars","-","-","-"
"749",14,"Layne Pryor",HOU,"TE171","8","-","-","4 out of 5 stars","-","-","-"
